id,page,n,c1,c2,c3,c4
279,9,4,#B85E00,#F59994,#C0B490,#0D2B52
280,9,4,#E62E73,#405416,#CC85D1,#6B2E63
281,10,4,#FFF59E,#00D973,#94FF94,#008AA1
282,10,4,#E62E73,#C2975A,#94FF94,#B875EB
283,10,4,#A7374B,#730F1F,#66AB56,#6BFFB3
284,10,4,#ED3D66,#FFE600,#33FF7D,#00592E
285,10,4,#B08699,#A93400,#FF3319,#B5FFC2
286,10,4,#A93400,#FFAB00,#00CF91,#202D85
287,10,4,#FF5EC4,#C4BF33,#ABF5ED,#80FFCC
288,10,4,#FF8C00,#503D00,#6B2E63,#000000
289,10,4,#F2FF26,#BDF226,#202D85,#06004F
290,10,4,#5C2C45,#FFF59E,#405416,#94FF94
291,10,4,#BDF226,#33FF7D,#94FF94,#80FFCC
292,10,4,#FFF59E,#F2AD78,#C3A55C,#C0B490
293,10,4,#B85E00,#B5FFC2,#65A98F,#40C945
294,10,4,#F5F5B8,#FFB852,#328E13,#96BFE6
295,10,4,#FFB852,#FFFF00,#0D75FF,#06004F
296,10,4,#F5F5B8,#D99E73,#5E4017,#1B3644
297,10,4,#A93400,#FF8C00,#58771E,#202D85
298,10,4,#B85E00,#F2FF26,#FF3319,#000000
299,10,4,#CC1A97,#F59994,#6EA900,#008AA1
300,10,4,#FF616B,#FFB852,#B5FFC2,#80FFCC
301,10,4,#F20000,#EBD999,#85B857,#9C52F2
302,10,4,#FFB852,#C0B490,#BFFFE6,#008AA1
303,10,4,#FAED8F,#FF3319,#172713,#B5D1CC
304,10,4,#681916,#FFB852,#7E8743,#00D973
305,10,4,#F2AD78,#FFE600,#A6D40D,#B5FFC2
306,10,4,#F2FF26,#00D973,#19CC33,#BFFFE6
307,10,4,#D60036,#B8B8FF,#9C52F2,#340059
308,10,4,#D1B0B3,#D50C42,#DE4500,#94FF94
309,10,4,#FA9442,#FF7340,#202D85,#003E83
310,10,4,#F5F5B8,#F2AD78,#718600,#172713
311,10,4,#A90636,#FFB852,#B3D9A3,#BDF226
312,10,4,#A93400,#FF8C00,#65A98F,#0057BA
313,10,4,#D60036,#FFFF00,#1B8E13,#000000
314,10,4,#FF5EC4,#681916,#0024CC,#2D0060
315,10,4,#FF616B,#F5F5B8,#FA9442,#BF36E0
316,11,4,#740909,#19CC33,#2619D1,#3400A3
317,11,4,#FFBF99,#C0B490,#F2FF26,#B5FFC2
318,11,4,#706934,#324E2A,#00592E,#0F261F
319,11,4,#B85E00,#FFE600,#FF8C00,#328E13
320,11,4,#FF7399,#F5F5B8,#6EA900,#A6E6DB
321,11,4,#B08699,#F5F5B8,#172713,#96BFE6
322,11,4,#F20000,#A32100,#BF36E0,#4733FF
